NAME,WAR,FIP,LOB,BABIP
브리검,2.34,3.6,0.73,0.314
양현,1.66,4.36,0.76,0.287
안우진,1.28,3.75,0.76,0.213
이승호,0.93,5.19,0.67,0.302
한현희,0.87,4.05,0.65,0.319
김태훈,0.71,3.79,0.66,0.333
김선기,0.61,4.78,0.76,0.239
이영준,0.58,5.24,0.75,0.31
최원태,0.56,5.37,0.67,0.285
임규빈,0.55,7.24,0.89,0.297
양기현,0.48,5.48,0.81,0.3
김재웅,0.47,4.57,0.67,0.331
조성운,0.31,5.34,0.67,0.286
문성현,0.29,4.88,0.75,0.316
김상수,0.13,3.78,0.6,0.333
김동혁,0.09,4.36,0.58,0.259
오주원,0.04,6.38,0.74,0.286
박주성,0.03,7.05,0.8,0.286
정대현,-0.08,6.17,0.56,0.444
김성민,-0.1,5.07,0.62,0.357
김정후,-0.11,9.88,0.73,0.5
박관진,-0.14,6.55,0.5,1
조영건,-0.22,6.89,0.72,0.271
김정인,-0.26,10.55,0.33,0.857
신재영,-0.31,10.75,0.63,0.423
박승주,-0.51,6,0.47,0.588
윤정현,-0.85,5.54,0.55,0.422
데스파이네,3.15,4.29,0.72,0.329
주권,2.67,5.01,0.81,0.224
쿠에바스,2.59,4.52,0.69,0.282
배제성,2.35,5.12,0.73,0.27
소형준,2.33,3.9,0.7,0.321
김재윤,2.19,3.73,0.8,0.325
조현우,1.81,3.48,0.75,0.278
이보근,1.46,3.78,0.73,0.272
유원상,1.07,5.24,0.7,0.228
전유수,0.53,4.47,0.67,0.303
이상화,0.09,6.12,0.66,0.214
손동현,0.06,6.89,0.71,0.258
김성훈,0.05,5.55,0.8,0.167
이강준,0.03,9.02,0.83,0.4
이창재,-0.01,3.3,0.57,0.37
이상동,-0.06,4.05,0.57,0.458
이선우,-0.07,10.55,0.71,0.5
하준호,-0.08,4.63,0.56,0.28
금민철,-0.12,5.69,0.56,0.6
안현준,-0.14,21.55,0,0.667
박세진,-0.15,21.55,0,0.667
류희운,-0.17,4.87,0.48,0.448
이대은,-0.26,5.83,0.64,0.308
조병욱,-0.27,6.09,0.61,0.343
김민,-0.44,6.27,0.63,0.296
김민수,-0.87,5.17,0.64,0.376
브룩스,7.17,2.71,0.75,0.302
가뇽,2.85,3.72,0.66,0.326
박준표,2.64,2.95,0.74,0.257
양현종,2.53,4,0.65,0.33
전상현,1.6,3.34,0.7,0.295
정해영,1.46,4.45,0.81,0.365
임기영,1.36,4.1,0.64,0.354
홍상삼,0.93,5.92,0.76,0.257
이준영,0.39,3.89,0.7,0.395
문경찬,0.25,5.63,0.77,0.333
김기훈,0.22,5.95,0.7,0.325
박정수,0.18,6,0.81,0.235
고영창,0.11,4.46,0.6,0.381
홍건희,0.1,5.8,0.57,0.242
김현수,0.1,6.64,0.67,0.346
황인준,0.08,7.8,0.91,0.385
남재현,0.04,5.65,0.65,0.333
변시원,0,4.95,0.64,0.381
김승범,-0.01,9.55,0.67,0.333
서덕원,-0.04,9.39,0.64,0.22
김명찬,-0.08,8.86,0.83,0.423
차명진,-0.17,21.55,0,0.75
양승철,-0.17,7.28,0.67,0.374
김재열,-0.24,6.72,0.65,0.351
김현준,-0.5,6.41,0.45,0.383
박진태,-0.5,11.53,0.63,0.371
이민우,-0.75,5.13,0.57,0.336
장현식,-1.47,6.77,0.48,0.409
김민우,2.32,4.87,0.72,0.287
윤대경,2.19,4.14,0.84,0.304
강재민,1.98,3.06,0.78,0.312
장시환,1.41,5.14,0.7,0.319
서폴드,1.31,4.87,0.65,0.33
김진영,1.26,4.36,0.73,0.298
정우람,1.22,3.44,0.66,0.355
박상원,0.75,4.58,0.68,0.316
김범수,0.46,6.36,0.75,0.303
송윤준,0.44,4.55,0.73,0.301
서균,0.35,6.14,1,0.28
문동욱,0.32,6.99,0.74,0.196
김종수,0.3,5.07,0.66,0.327
김진욱,0.3,6.88,0.76,0.302
장웅정,0.25,4.59,0.77,0.292
안영명,0.23,5.97,0.67,0.318
채드벨,0.17,5.17,0.64,0.325
이현호,0.02,7.14,0.73,0.318
이태양,-0.01,4.59,0.62,0.4
노시환,-0.05,19.55,0,0
윤규진,-0.1,5.73,0.45,0.462
한승주,-0.14,12.55,0.56,0.4
김이환,-0.17,6.32,0.66,0.313
김기탁,-0.18,6.69,0.48,0.387
장민재,-0.19,4.35,0.61,0.377
윤호솔,-0.21,9.05,0.54,0.316
신정락,-0.23,5.82,0.54,0.429
황영국,-0.52,6.13,0.56,0.4
오동욱,-0.53,9.15,0.45,0.442
박주홍,-0.53,6.59,0.56,0.333
임준섭,-0.54,5.74,0.49,0.472
알칸타라,8.31,3.09,0.79,0.289
플렉센,3.49,2.73,0.71,0.307
최원준,2.86,4.64,0.79,0.32
이영하,2.09,4.63,0.68,0.318
박치국,1.44,4.08,0.72,0.294
함덕주,1.33,3.06,0.7,0.327
홍건희,0.84,4.22,0.7,0.345
김민규,0.62,3.55,0.62,0.299
유희관,0.55,4.82,0.67,0.342
채지선,0.4,5.39,0.77,0.344
윤명준,0.38,4.75,0.67,0.324
김명신,0.38,6.03,0.92,0.347
이승진,0.37,3.55,0.61,0.359
이현승,0.24,3.81,0.65,0.368
박종기,0.19,5.13,0.7,0.338
권휘,0.13,4.79,0.71,0.341
최세창,0.02,7.21,0.83,0.308
배창현,0.01,21.55,1,0
이주엽,-0.01,8.65,0.7,0.3
김강률,-0.11,4.45,0.65,0.391
이교훈,-0.13,10.55,0.53,0.364
박신지,-0.15,2.55,0.4,0.643
문대원,-0.21,9.2,0.45,0.385
조제영,-0.23,7.55,0.47,0.444
권혁,-0.36,3.29,0.4,0.407
장원준,-0.39,8.31,0.51,0.381
이형범,-0.4,6.94,0.63,0.294
이용찬,-0.55,6.51,0.59,0.362
